,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Volver a pedir,Verificacion katy,ID de inventario,Marca,Nombre,Descripción ,Tamaño,"Cantidad 
en existencias",Costo de compra ,Taxes ,Precio de importación ,Valor total x unidad,Valor general de mercadería disponible,Precio venta Perú x unidad dolares,Precio de venta peru x unidad en soles,Precio del mercado,,Ganancias x unidad,Ganancia del total de unidades
C,K,IN0049,Rare beauty,Pack Soft pinch cheek y lip trio,"1 tinted lipoil , 1 dewy liquid blush, 1 matte boncy blush","1x 2.ml, 1x 3.2ml, 1x 6.4g",4,$25.20 ,$2.27 ,$1.60 ,$29.07 ,$116.28 ,$51.43 ,S/ 180.00,,,$22.36 ,$89.43 
C,K,IN0050,Rare beauty,Primer iluminating,REGALO,15ml,1,$0.00 ,$0.00 ,$1.60 ,$1.60 ,$1.60 ,$38.57 ,S/ 135.00,,,$36.97 ,$36.97 
C,K,IN0051,Kiko,Milano 3D Hydra lipgloss,Color 15 cherry red,6.5ml,1,$9.87 ,$1.33 ,$1.60 ,$12.80 ,$12.80 ,$24.29 ,S/ 85.00,,,$11.49 ,$11.49 
C,K,IN0052,Kiko,Milano 3D Hydra lipgloss,Color 16 iridescent ruby,6.5ml,2,$9.87 ,$1.33 ,$1.60 ,$12.80 ,$25.60 ,$24.29 ,S/ 85.00,,,$11.49 ,$22.97 
C,K,IN0053,Kiko,Milano 3D Hydra lipgloss,Color 18 golden sparkle,6.5ml,1,$9.87 ,$1.33 ,$1.60 ,$12.80 ,$12.80 ,$24.29 ,S/ 85.00,,,$11.49 ,$11.49 
C,K,IN0054,Kiko,Milano 3D Hydra lipgloss,21 brun rose,6.5ml,4,$9.87 ,$1.33 ,$1.60 ,$12.80 ,$51.20 ,$24.29 ,S/ 85.00,,,$11.49 ,$45.94 
C,K,IN0055,Kiko,Milano 3D Hydra lipgloss,22 sparkling red garnet,6.5ml,2,$9.87 ,$1.33 ,$1.60 ,$12.80 ,$25.60 ,$24.29 ,S/ 85.00,,,$11.49 ,$22.97 
,,IN0056,Kiko,Milano 3D Hydra lipgloss,26 sparkling hibiscus pink,6.5ml,1,$9.87 ,$1.33 ,$1.60 ,$12.80 ,$12.80 ,$24.29 ,S/ 85.00,,,$11.49 ,$11.49 
C,K,,Kiko,3d Hydra Xtreme Lipgloss,3,5 ml,1,$10.00 ,$1.33 ,$1.60 ,$12.93 ,$12.93 ,$24.29 ,S/ 85.00,,,$11.36 ,$11.36 
C,K,,Kiko,3d Hydra Xtreme Lipgloss,1,6 ml,1,$10.00 ,$1.33 ,$1.60 ,$12.93 ,$12.93 ,$24.29 ,S/ 85.00,,,$11.36 ,$11.36 
,K,IN0057,Kiko,Milano 3D Hydra lipgloss,35  pearly warm mauve,6.5ml,1,$9.87 ,$1.33 ,$1.60 ,$12.80 ,$12.80 ,$28.57 ,S/ 100.00,,,$15.77 ,$15.77 
,K,IN0058,Kiko,Milano 3D Hydra lipgloss,Color 17,6.5ml,2,$9.80 ,$1.33 ,$1.60 ,$12.73 ,$25.46 ,$28.57 ,S/ 100.00,,,$15.84 ,$31.68 
,K,IN0059,Kiko,Milano 3D Hydra lipgloss,Color 05,6.5ml,2,$9.80 ,$1.33 ,$1.60 ,$12.73 ,$25.46 ,$28.57 ,S/ 100.00,,,$15.84 ,$31.68 
,K,IN0060,Kiko,Pack everyday nude lip kit,"Color 04 hidra gloss , 21 lapiz creamy, 101 gossamer",6.5ml-1.2g-3.5g,1,$32.00 ,$1.33 ,$1.60 ,$34.93 ,$34.93 ,$58.57 ,S/ 205.00,,,$23.64 ,$23.64 
,K,IN0061,Kiko,Pack everyday iconic red  lip kit,"Color 17 hidra lipgloss, 12 lapiz creamy, 131 gossamer",6.5ml-1.2g-3.5g,2,$32.00 ,$1.33 ,$1.60 ,$34.93 ,$69.86 ,$58.57 ,S/ 205.00,,,$23.64 ,$47.28 
,K?,IN0062,Kiko,Creamy lipstick,Color gossamer 131,3.5g,1,$10.00 ,$1.33 ,$1.60 ,$12.93 ,$12.93 ,$22.86 ,S/ 80.00,,,$9.93 ,$9.93 
,K,IN0063,The ordenary,The mini discovery set,6 productos,,2,$28.00 ,$1.00 ,$1.60 ,$30.60 ,$61.20 ,$50.00 ,S/ 175.00,,,$19.40 ,$38.80 
,K,IN0064,The ordenary,Niacinamide 10% + zinc,,60ml,2,$8.32 ,,$1.60 ,$9.92 ,$19.84 ,$31.43 ,S/ 110.00,,,$21.51 ,$43.02 
,K,IN0065,The ordenary,Salicylic 2%,,30ml,1,$5.00 ,,$1.60 ,$6.60 ,$6.60 ,$17.14 ,S/ 60.00,,,$10.54 ,$10.54 
,K,IN0066,The ordenary,Hyaluronic acid 25% REGALO,,15 ml,1,,,$1.60 ,$1.60 ,$1.60 ,$8.57 ,S/ 30.00,,,$6.97 ,$6.97 
,K,IN0067,The ordenary,The acne set,,,1,$22.18 ,,$1.60 ,$23.78 ,$23.78 ,$34.29 ,S/ 120.00,,,$10.51 ,$10.51 
,,,,,,,,,,$0.00 ,,,,,,,,
,,,,,,,,,,$0.00 ,,,,,,,,
,,,,,,,,,,$0.00 ,,,,,,,,
,,,,,,,,,,$0.00 ,,,,,,,,
,,,,,,,,,,$0.00 ,,,,,,,,
,,,,,,,,,,$0.00 ,,,,,,,,
,,,,,,,,,,$0.00 ,,,,,,,,
,,,,,,,,,,$0.00 ,,,,,,,,
,,,,,,,,,,$0.00 ,,,,,,,,
,,,,,,,,,,$0.00 ,,,,,,,,$0.00 
,,,,,,,,,,$0.00 ,,,,,,,,$0.00 
,,,,,,,131,,,115.2,Inversión:,"$2,396 ",,,,,TOTAL :,"$2,171.22 "
